product_name,price,stock_quantity,location,manufacturer,expiration_date,vending_machine_id,category
Cinnamon Rolls,3.81,921,2691 Hayes Parkway,Thoughtbridge,8/23/2023,286,Candy
"Pasta - Gnocchi, Potato",5.08,946,343 Sunnyside Circle,Browsezoom,5/13/2022,287,Candy
Wanton Wrap,4.02,795,1589 Chive Trail,Kanoodle,3/17/2023,288,Snacks
"Pasta - Fettuccine, Egg, Fresh",8.42,980,75 Spohn Terrace,Blognation,6/1/2022,289,Candy
Turnip - White,8.52,934,50632 Memorial Alley,Yombu,4/2/2022,290,Snacks
Frangelico,4.82,290,0 Marquette Circle,Ainyx,1/6/2023,291,Beverages
"Beef - Roasted, Cooked",4.51,380,799 Birchwood Way,Oozz,8/27/2022,292,Snacks
Tomato - Tricolor Cherry,2.15,573,627 Westend Plaza,Tanoodle,12/9/2023,293,Candy
Beef - Tender Tips,9.03,652,555 Reindahl Road,Thoughtblab,12/21/2022,294,Snacks
"Crab - Dungeness, Whole",4.11,463,74276 Atwood Plaza,Plambee,3/12/2023,295,Snacks
"Doilies - 12, Paper",1.73,858,4 Larry Way,Skimia,1/26/2022,296,Beverages
"Coconut - Creamed, Pure",1.99,127,271 Lakewood Alley,Bluejam,4/28/2022,297,Beverages
Carrots - Jumbo,7.4,647,81 4th Circle,Yambee,1/4/2022,298,Snacks
Salt - Sea,1.16,964,02 2nd Junction,Kwideo,9/20/2023,299,Candy
Oyster - In Shell,2.66,150,3397 Crownhardt Point,Edgeblab,11/19/2023,300,Beverages
Cookies - Englishbay Wht,5.49,78,76251 Banding Circle,Blogpad,10/16/2023,301,Beverages
Coconut Milk - Unsweetened,1.09,933,4830 Eastlawn Way,Aimbo,2/12/2023,302,Candy
Lettuce - Radicchio,6.72,310,2 Del Sol Way,Feedmix,8/8/2023,303,Snacks
"Beans - Kidney, Canned",6.5,69,08256 Armistice Alley,Skyvu,8/1/2022,304,Snacks
Bread Roll Foccacia,9.18,680,1 Grover Street,Oyoyo,6/12/2022,305,Candy
Chick Peas - Canned,2.26,88,69 Clemons Plaza,Quatz,3/3/2023,306,Candy
Venison - Ground,3.3,710,2 Maple Wood Parkway,Skipfire,5/6/2023,307,Candy
Pie Shell - 9,9.08,483,2 Pennsylvania Circle,Chatterpoint,11/8/2022,308,Candy
"Wine - Red, Mosaic Zweigelt",6.25,502,71804 Nevada Pass,Kimia,10/22/2023,309,Beverages
Glaze - Apricot,2.36,663,641 Portage Street,Youfeed,5/12/2022,310,Snacks
"Lamb - Loin, Trimmed, Boneless",3.53,714,2262 Red Cloud Court,Skinix,6/16/2023,311,Snacks
"Salsify, Organic",3.98,752,344 Londonderry Point,Jaxbean,5/3/2022,312,Candy
Energy - Boo - Koo,3.22,418,623 Prairie Rose Crossing,Aimbo,2/9/2022,313,Snacks
Arizona - Plum Green Tea,2.78,764,774 Reinke Plaza,Zoombeat,4/21/2022,314,Candy
Pepper - Yellow Bell,2.95,362,013 Lerdahl Lane,Wordify,11/28/2022,315,Candy
Muffin Mix - Morning Glory,7.13,307,36 Kensington Point,Mycat,1/6/2023,316,Beverages
"Wine - Red, Cabernet Merlot",1.28,954,269 Vernon Drive,Oozz,11/3/2023,317,Snacks
Soup - Campbells,3.14,631,8 Barby Way,Wikizz,12/24/2023,318,Beverages
Icecream Bar - Del Monte,2.95,131,9654 Lien Way,Topiclounge,7/5/2023,319,Snacks
Juice - Propel Sport,5.21,327,89 Blackbird Road,Oba,7/1/2023,320,Beverages
Clams - Bay,6.34,166,48 Manitowish Circle,Livepath,5/31/2023,321,Beverages
Cookies - Amaretto,4.03,81,170 Fulton Point,Devify,8/10/2022,322,Snacks
Nantucket Cranberry Juice,6.39,87,0 Sherman Place,Kazio,3/21/2022,323,Beverages
Cheese - St. Andre,5.7,189,9 Delladonna Way,Meeveo,8/9/2022,324,Beverages
Coriander - Seed,6.66,120,67426 Lindbergh Crossing,Avamm,7/29/2022,325,Candy
Wine - Stoneliegh Sauvignon,1.37,704,52 Bayside Terrace,Twimm,8/19/2022,326,Snacks
Frangelico,4.02,395,5280 Fulton Drive,Riffpedia,8/27/2022,327,Snacks
Cognac - Courvaisier,6.38,666,85 Northport Street,Oyoloo,11/5/2022,328,Beverages
Puree - Kiwi,4.3,48,34 Dexter Court,Flipstorm,6/4/2023,329,Candy
Pails With Lids,9.95,519,0 Dayton Pass,Dazzlesphere,4/6/2022,330,Beverages
Quinoa,7.51,217,29 Warbler Avenue,Browsedrive,10/31/2023,331,Snacks
Plate Foam Laminated 9in Blk,3.97,136,545 Raven Court,Dabfeed,2/3/2023,332,Candy
Goldschalger,1.39,466,9 Nevada Point,Thoughtblab,9/15/2022,333,Candy
Pie Box - Cello Window 2.5,4.51,416,74493 Darwin Lane,Thoughtstorm,12/9/2022,334,Candy
Beef - Bresaola,8.84,917,85360 Vernon Place,Omba,3/29/2022,335,Beverages
Leeks - Large,6.04,391,202 Esker Drive,Yakidoo,6/20/2022,336,Snacks
Bread - Raisin Walnut Pull,4.18,462,9 Canary Junction,Zoomcast,1/9/2022,337,Snacks
Wine - Cousino Macul Antiguas,5.0,692,1 Bellgrove Park,Zoovu,9/4/2022,338,Beverages
Truffle Paste,3.45,446,2 Hudson Plaza,Youopia,8/18/2023,339,Candy
Bandage - Flexible Neon,7.94,714,8 Eggendart Street,Quatz,7/28/2023,340,Snacks
Pork - Ham Hocks - Smoked,4.63,844,28091 Rutledge Trail,Edgeclub,8/7/2023,341,Beverages
Wine - Chianti Classico Riserva,2.88,648,75681 Fallview Drive,Jaxspan,8/1/2023,342,Snacks
Cafe Royale,1.9,246,99902 Buell Plaza,Voonix,6/12/2023,343,Candy
Hagen Daza - Dk Choocolate,9.55,13,314 South Avenue,Quinu,9/25/2023,344,Beverages
Tomatoes - Cherry,7.45,808,3 Londonderry Way,Flashpoint,9/8/2023,345,Beverages
"Roe - Lump Fish, Red",6.55,272,638 Bayside Point,Lazzy,1/12/2022,346,Candy
Wine - Taylors Reserve,1.56,502,34 Golden Leaf Point,Aibox,10/2/2022,347,Candy
Juice Peach Nectar,2.77,979,78830 Southridge Drive,Leexo,4/24/2023,348,Candy
Hummus - Spread,8.13,323,1 Merchant Way,Jabberbean,12/14/2022,349,Snacks
Flour - Masa De Harina Mexican,8.9,260,08134 Carioca Way,Roodel,12/30/2023,350,Beverages
Table Cloth 54x54 Colour,9.97,515,312 Elmside Court,Devpoint,8/28/2023,351,Beverages
Salmon Steak - Cohoe 6 Oz,2.05,493,4198 Harbort Park,Thoughtworks,7/23/2023,352,Candy
Wine - Cotes Du Rhone Parallele,3.28,902,7895 Sutteridge Lane,Yakidoo,10/24/2023,353,Candy
Mousse - Mango,7.24,123,58996 Cottonwood Terrace,Fliptune,1/31/2023,354,Candy
Caviar - Salmon,8.12,306,37 Ruskin Drive,Kare,3/5/2023,355,Beverages
"Soup - Campbells, Cream Of",5.4,140,3 Warrior Plaza,Yozio,8/15/2022,356,Snacks
Lidsoupcont Rp12dn,5.72,869,925 Hauk Street,Buzzster,4/16/2023,357,Snacks
Nantucket Apple Juice,3.51,734,55237 Mccormick Lane,Mydo,7/16/2023,358,Candy
Rice - Sushi,9.83,899,9006 Sherman Street,Yambee,11/1/2022,359,Beverages
Ice Cream Bar - Hageen Daz To,9.62,554,44 Scoville Hill,Skimia,12/30/2023,360,Snacks
"Water, Tap",6.62,179,25 Boyd Parkway,Gigaclub,8/6/2022,361,Beverages
Liquid Aminios Acid - Braggs,8.49,725,306 Marcy Road,Skyba,6/5/2023,362,Candy
Cranberries - Frozen,1.37,428,926 Summer Ridge Point,Trudeo,4/14/2023,363,Candy
Tomatoes - Hot House,9.47,600,759 Eggendart Circle,Jaxworks,2/21/2023,364,Beverages
Pastry - Butterscotch Baked,9.95,447,9 Center Trail,Babbleopia,11/17/2023,365,Beverages
Fruit Salad Deluxe,4.98,341,5413 Bonner Junction,Wikivu,10/19/2023,366,Snacks
Muffin - Bran Ind Wrpd,4.42,925,01836 Lien Street,Zoozzy,10/1/2023,367,Snacks
Steampan - Foil,2.97,270,94 7th Circle,Realcube,9/20/2022,368,Snacks
Roe - Flying Fish,7.72,783,05 Crowley Drive,Realmix,12/26/2022,369,Beverages
Flour - Strong Pizza,2.48,950,430 Oriole Street,Kwimbee,9/1/2023,370,Candy
"Cheese - Woolwich Goat, Log",2.04,474,722 Heffernan Street,Agivu,11/25/2023,371,Beverages
Sambuca Cream,6.12,857,852 Shasta Pass,Bubbletube,12/27/2023,372,Snacks
Bread Base - Italian,4.28,415,2402 Valley Edge Drive,Youfeed,2/4/2023,373,Candy
Pear - Asian,9.75,508,92 Gerald Park,Abata,12/24/2023,374,Beverages
"Chilli Paste, Hot Sambal Oelek",9.75,831,7 Golf Course Park,Camimbo,12/30/2023,375,Beverages
Potato - Sweet,1.99,296,0 Sachs Plaza,Dabtype,8/8/2022,376,Beverages
Piping Jelly - All Colours,6.17,70,57426 Oakridge Alley,Linkbuzz,2/10/2022,377,Candy
Wine - Sake,1.69,908,123 Tomscot Alley,Izio,4/17/2022,378,Snacks
"Wine - White, Cooking",5.95,582,849 8th Road,Jabberstorm,3/1/2023,379,Beverages
Mushroom - King Eryingii,2.88,942,30 Cherokee Center,Flipstorm,2/19/2022,380,Beverages
Milk - Buttermilk,2.19,782,00 Lakewood Avenue,Topdrive,6/30/2022,381,Candy
"Wine - White, French Cross",1.74,412,9068 Clove Street,Dynabox,3/24/2023,382,Snacks
"Dill - Primerba, Paste",6.4,585,7762 Parkside Street,Eabox,3/25/2023,383,Candy
Lotus Leaves,4.13,219,29 Dapin Center,Fivechat,12/12/2022,384,Snacks
Cardamon Ground,1.99,915,44039 Sage Pass,Tanoodle,3/29/2022,385,Beverages
Cheese - Goat With Herbs,8.11,702,4282 David Park,Mydo,4/23/2022,386,Beverages
Garlic,5.42,292,19 Dunning Point,Blognation,9/9/2023,387,Candy
Nantucket Orange Juice,8.6,762,40 Vidon Road,Devbug,5/9/2023,388,Snacks
Pepper - Scotch Bonnet,9.61,778,720 Prentice Parkway,Npath,3/13/2022,389,Beverages
Venison - Racks Frenched,2.46,199,9471 Birchwood Way,Buzzdog,9/15/2022,390,Snacks
Beef - Texas Style Burger,4.79,422,115 Pepper Wood Park,Feedmix,8/24/2022,391,Snacks
Beer - Pilsner Urquell,3.61,78,91 Nancy Place,Katz,8/23/2022,392,Beverages
"Tart Shells - Savory, 3",9.34,107,600 Prairieview Place,Centidel,4/21/2023,393,Snacks
Wine - Coteaux Du Tricastin Ac,1.78,601,8 Scoville Parkway,Buzzbean,4/29/2023,394,Beverages
Graham Cracker Mix,8.22,330,19135 Farmco Lane,Mita,1/21/2023,395,Candy
Pastry - Mini French Pastries,7.95,766,6486 Gulseth Road,Brainbox,9/24/2023,396,Candy
Wine - Barossa Valley Estate,5.87,368,3629 Sommers Lane,Yodo,2/11/2022,397,Snacks
Sauce - Soy Low Sodium - 3.87l,5.84,558,8 Ridgeway Trail,Midel,8/30/2023,398,Candy
Pepper - Cubanelle,7.49,348,6 Riverside Park,Wordtune,6/13/2023,399,Snacks
Dikon,6.24,164,3273 Corben Park,Flashdog,10/28/2023,400,Candy
Cabbage - Red,8.92,113,28 Sherman Trail,Muxo,7/3/2023,401,Beverages
Red Pepper Paste,2.15,679,0095 Sachtjen Lane,Vimbo,8/22/2023,402,Candy
"Potatoes - Yukon Gold, 80 Ct",9.04,681,844 Ludington Avenue,Ntags,1/3/2023,403,Snacks
Higashimaru Usukuchi Soy,8.51,292,22 Calypso Crossing,Meejo,2/22/2022,404,Candy
Gherkin,6.39,402,206 Dixon Lane,Fivebridge,12/25/2022,405,Beverages
"Chestnuts - Whole,canned",4.36,147,39 Moose Trail,Trudeo,4/3/2023,406,Snacks
Pepper - Roasted Red,2.04,985,71 Bultman Plaza,Roodel,9/25/2023,407,Beverages
Jerusalem Artichoke,7.73,698,68 Northport Road,Photospace,1/14/2023,408,Beverages
Duck - Legs,2.26,624,2 Northport Park,Quatz,11/30/2022,409,Snacks
Wasabi Paste,3.27,652,623 Killdeer Terrace,Dabvine,2/16/2023,410,Candy
"Vermacelli - Sprinkles, Assorted",2.58,116,40018 Dexter Center,Yakidoo,5/5/2023,411,Candy
"Iced Tea - Lemon, 460 Ml",8.31,539,59515 Eggendart Alley,Skipfire,8/1/2023,412,Snacks
"Yogurt - Peach, 175 Gr",5.54,488,48520 Algoma Park,Tambee,7/9/2023,413,Beverages
Fruit Mix - Light,1.11,207,448 Towne Park,Trilia,11/5/2022,414,Beverages
Ostrich - Prime Cut,8.83,577,99 Golf Trail,Feednation,12/13/2022,415,Snacks
"Wine - Red, Gamay Noir",4.76,731,2 Northview Plaza,Edgetag,10/9/2023,416,Snacks
"Cherries - Maraschino,jar",1.69,197,35 Pleasure Drive,Aimbu,5/28/2023,417,Candy
"Glass - Wine, Plastic, Clear 5 Oz",2.18,671,987 Westend Avenue,Mudo,5/23/2022,418,Candy
"Squash - Pattypan, Yellow",7.63,315,449 Northridge Center,Skinix,12/10/2023,419,Beverages
Bouq All Italian - Primerba,8.84,395,22 Memorial Lane,Jayo,2/19/2022,420,Candy
Table Cloth 54x54 White,7.37,681,10189 Maple Wood Way,Yakidoo,4/28/2022,421,Beverages
Coffee - Almond Amaretto,7.88,966,68405 Waywood Street,Tagpad,7/24/2022,422,Candy
Wine - Cave Springs Dry Riesling,4.89,229,747 Spaight Lane,Tagfeed,5/29/2023,423,Snacks
Table Cloth 54x72 Colour,8.22,596,3 2nd Street,Jaxworks,3/26/2023,424,Candy
"Chilli Paste, Hot Sambal Oelek",9.28,317,55 Russell Crossing,Twinder,8/20/2023,425,Candy
"Veal - Shank, Pieces",7.26,77,8 Garrison Drive,Einti,11/9/2022,426,Beverages
Salad Dressing,3.06,264,0 Duke Alley,Katz,10/27/2023,427,Beverages
"Lobster - Baby, Boiled",1.39,747,47100 Westerfield Point,Fiveclub,5/9/2023,428,Snacks
Oven Mitt - 13 Inch,9.21,246,3887 Talisman Junction,Yotz,7/19/2023,429,Snacks
Venison - Racks Frenched,3.74,694,60 Sommers Street,Voonte,3/20/2022,430,Snacks
Soup - Campbells Chili Veg,7.11,611,05 East Plaza,Realblab,11/22/2022,431,Beverages
Temperature Recording Station,7.85,398,5 Kim Crossing,Browseblab,6/14/2023,432,Candy
Steampan - Lid For Half Size,4.77,169,8620 Burning Wood Lane,Vinder,8/12/2022,433,Candy
"Beef - Bones, Cut - Up",6.91,505,9 Lakeland Crossing,Rooxo,4/30/2022,434,Beverages
Bread - Raisin Walnut Pull,6.92,206,5 Prairieview Point,Jayo,1/22/2023,435,Beverages
Dill Weed - Dry,1.79,203,0485 Eastwood Park,Flashpoint,5/22/2022,436,Candy
Muffin Mix - Lemon Cranberry,1.73,964,20325 Bay Hill,Realbuzz,7/18/2023,437,Snacks
Fenngreek Seed,2.21,189,8443 Merry Court,Feednation,4/22/2022,438,Beverages
Smirnoff Green Apple Twist,9.86,653,550 Dunning Point,DabZ,6/25/2023,439,Candy
"Soup - Campbells, Lentil",9.15,289,6 Cody Way,Myworks,3/1/2022,440,Beverages
Creamers - 10%,4.59,305,0575 Packers Parkway,Thoughtstorm,3/18/2023,441,Beverages
Cilantro / Coriander - Fresh,4.92,814,9079 Sachs Trail,Topicstorm,9/21/2023,442,Snacks
Pate - Peppercorn,3.02,811,317 Havey Pass,Meeveo,8/14/2022,443,Beverages
"Juice - Orange, 341 Ml",8.39,284,4 Mariners Cove Center,Ozu,4/4/2022,444,Candy
Bag - Clear 7 Lb,7.84,671,65 Macpherson Place,Browsetype,2/2/2023,445,Candy
Lamb - Whole Head Off,2.85,530,3 Thierer Drive,Zazio,1/18/2022,446,Candy
Beef - Shank,5.57,385,9 Jana Lane,Vinte,11/30/2022,447,Snacks
Island Oasis - Wildberry,4.96,309,8 Steensland Drive,Devcast,8/5/2023,448,Candy
"Soup - Campbells, Lentil",7.49,429,7 Vidon Center,Eire,11/28/2023,449,Snacks
Lemon Tarts,2.02,734,52832 Norway Maple Trail,Trupe,3/1/2022,450,Beverages
Olives - Kalamata,6.68,451,6138 Mesta Point,Leenti,6/7/2023,451,Snacks
Bread - Pita,5.54,127,12469 Dryden Junction,Zooxo,10/3/2022,452,Candy
Horseradish - Prepared,5.26,29,03528 Oriole Lane,Youtags,9/21/2023,453,Snacks
Puree - Mocha,7.14,608,7 Grayhawk Pass,Devpoint,11/7/2023,454,Snacks
Soap - Hand Soap,5.47,400,9 Norway Maple Park,Meetz,10/20/2023,455,Beverages
Boogies,5.81,925,0 Grover Center,Snaptags,5/3/2023,456,Candy
Soup V8 Roasted Red Pepper,7.0,267,612 Muir Avenue,Thoughtsphere,5/14/2022,457,Snacks
"Pasta - Tortellini, Fresh",6.78,581,642 Division Lane,Eidel,9/14/2022,458,Beverages
"Rice Pilaf, Dry,package",7.7,60,576 Delladonna Junction,Youspan,1/28/2022,459,Candy
"Wine - Red, Antinori Santa",8.75,212,62839 Susan Circle,Feedfire,11/24/2022,460,Beverages
Wine - Manischewitz Concord,1.21,792,384 Elmside Way,Yakidoo,11/14/2022,461,Snacks
Wine - Fume Blanc Fetzer,5.56,860,56 Valley Edge Plaza,Demivee,3/4/2023,462,Snacks
"Turkey - Whole, Fresh",6.69,17,4 Spohn Drive,Thoughtblab,9/3/2022,463,Snacks
Cookie Chocolate Chip With,4.67,974,750 Texas Junction,Zoomdog,3/4/2022,464,Beverages
Wine - Fino Tio Pepe Gonzalez,5.0,226,279 Larry Pass,Zava,1/13/2022,465,Candy
Wine - Winzer Krems Gruner,2.88,54,7020 Ridgeway Road,Kwilith,6/5/2023,466,Snacks
Spinach - Frozen,3.21,363,56 Schurz Way,Zoomdog,1/21/2023,467,Candy
Shrimp - Black Tiger 26/30,7.91,348,37930 Ludington Street,Dabfeed,5/16/2022,468,Candy
Calypso - Pineapple Passion,2.22,475,3076 Acker Way,Plajo,5/9/2022,469,Snacks
Table Cloth 91x91 Colour,5.81,752,10 Randy Terrace,Realmix,11/30/2023,470,Beverages
Duck - Whole,1.68,122,505 Eagan Park,Mynte,3/26/2022,471,Snacks
Soap - Pine Sol Floor Cleaner,2.05,91,45576 Toban Drive,Oloo,8/18/2023,472,Beverages
Carbonated Water - Blackcherry,5.34,691,6711 Lakeland Crossing,Avamm,2/22/2022,473,Candy
Pickerel - Fillets,4.57,750,4388 Reinke Road,Dablist,2/2/2022,474,Snacks
Garlic - Peeled,7.84,351,425 Buhler Center,Yodo,9/11/2023,475,Beverages
"Tart Shells - Barquettes, Savory",5.72,685,9240 Debs Point,Fanoodle,12/24/2023,476,Snacks
"Coconut - Creamed, Pure",1.85,434,67398 Lukken Place,Gigabox,6/30/2023,477,Beverages
Cucumber - English,3.93,295,2 Sachtjen Circle,Agimba,12/23/2022,478,Beverages
Beef Tenderloin Aaa,6.9,573,57 Eastwood Drive,Rhynoodle,5/12/2022,479,Candy
Roe - White Fish,4.36,897,03 Eagle Crest Point,Skajo,12/10/2022,480,Beverages
Godiva White Chocolate,1.91,769,7 Forest Dale Pass,LiveZ,4/12/2022,481,Snacks
Flour - Semolina,9.11,213,40245 6th Drive,Vipe,10/14/2022,482,Beverages
Bagelers - Cinn / Brown,1.85,36,598 Oneill Park,Flashspan,11/14/2023,483,Candy
"Lemonade - Black Cherry, 591 Ml",2.75,529,860 Ridgeway Street,Blogspan,6/21/2023,484,Beverages
Olives - Morracan Dired,9.42,796,2779 Esch Point,Buzzdog,6/12/2023,485,Candy
Wine - Chardonnay Mondavi,3.11,326,27016 Thompson Street,Avaveo,3/1/2023,486,Snacks
Shiro Miso,8.06,208,2669 Bunker Hill Plaza,Shuffletag,1/10/2022,487,Snacks
Prunes - Pitted,6.47,330,1814 Melody Hill,Jaxworks,12/28/2023,488,Beverages
Wine - Clavet Saint Emilion,4.08,467,81205 Carberry Pass,Skinder,3/21/2023,489,Beverages
"Bread - Rolls, Rye",9.44,180,35391 Elgar Center,Zoonder,5/30/2023,490,Candy
Magnotta - Bel Paese White,1.8,239,39570 Quincy Point,Yata,10/22/2023,491,Candy
Scampi Tail,1.04,920,788 Donald Park,Mudo,1/31/2022,492,Beverages
Mace,6.97,56,1793 Paget Avenue,Twimbo,3/24/2022,493,Beverages
Strawberries,8.17,315,7681 Sutherland Pass,Fivespan,9/26/2023,494,Beverages
Soup Campbells - Tomato Bisque,7.65,665,33402 Oak Valley Park,Skidoo,5/19/2023,495,Beverages
Onions - Red Pearl,2.79,280,64014 Hooker Junction,Nlounge,8/9/2022,496,Candy
Tea - Lemon Scented,2.84,762,13 Jenifer Drive,Tazz,12/11/2023,497,Snacks
Mudslide,7.29,711,2866 School Lane,Eimbee,8/30/2023,498,Candy
Cheese - Goat With Herbs,3.6,207,24 Arizona Trail,Jabberstorm,7/21/2022,499,Beverages
Cheese Cloth No 100,2.45,732,12571 Pond Drive,Twiyo,6/2/2023,500,Candy
Cabbage Roll,4.01,462,76632 Dennis Circle,Bubblemix,11/7/2023,501,Candy
"Veal - Leg, Provimi - 50 Lb Max",3.12,173,119 Glacier Hill Hill,Jayo,7/22/2023,502,Snacks
Sugar - Crumb,5.17,645,839 Barby Pass,Aimbu,3/14/2023,503,Snacks
Tomato - Peeled Italian Canned,5.3,706,356 Evergreen Place,Trupe,10/17/2022,504,Snacks
Gelatine Powder,6.51,28,816 Sheridan Lane,Mudo,2/24/2022,505,Candy
"Soup - Campbells, Beef Barley",4.72,980,76 Fallview Point,Eadel,1/25/2022,506,Candy
Veal - Provimi Inside,5.1,801,0541 Hoffman Place,Blognation,12/27/2022,507,Candy
Soap - Hand Soap,5.95,994,698 Delaware Way,Cogibox,10/8/2023,508,Candy
Neckerchief Blck,9.5,841,72 Blackbird Crossing,Browsezoom,11/17/2022,509,Candy
Jolt Cola - Electric Blue,9.53,849,9676 Fair Oaks Parkway,Browsedrive,2/17/2022,510,Candy
Lotus Rootlets - Canned,2.12,384,07 Lindbergh Way,Divanoodle,3/27/2023,511,Snacks
Kellogs All Bran Bars,7.69,277,6681 Nova Plaza,Tavu,11/28/2023,512,Candy
Mackerel Whole Fresh,7.05,504,6864 Upham Place,Jaloo,2/16/2022,513,Beverages
Octopus,1.04,765,54 Rusk Pass,Twitterbeat,6/4/2023,514,Candy
Soup - Cream Of Potato / Leek,9.47,0,7399 Susan Way,Kwimbee,7/10/2023,515,Snacks
"Pasta - Detalini, White, Fresh",1.33,237,3 Ridgeview Street,Voomm,7/24/2023,516,Snacks
Muffin Carrot - Individual,3.2,990,152 Victoria Parkway,Riffpath,9/15/2023,517,Beverages
Cabbage - Red,9.34,719,5152 Bobwhite Terrace,Voolia,11/22/2022,518,Snacks
Pie Filling - Cherry,9.15,236,233 Hauk Place,Centimia,10/15/2023,519,Candy
Wine - Touraine Azay - Le - Rideau,6.31,743,7 Kings Court,Realmix,9/7/2022,520,Candy
"Lettuce - Mini Greens, Whole",6.15,957,46 Stang Road,DabZ,8/19/2022,521,Beverages
Pie Filling - Cherry,6.01,658,2426 Blackbird Terrace,Aimbu,9/3/2023,522,Snacks
Wine - Ej Gallo Sonoma,5.36,210,30 Barby Way,Photolist,10/2/2023,523,Candy
Lemon Tarts,8.34,269,169 Eagan Avenue,Innotype,2/14/2022,524,Snacks
Beer - Corona,5.6,113,26 Packers Crossing,Ooba,6/21/2022,525,Beverages
"Pepper - Black, Crushed",5.54,237,98 Burning Wood Lane,Dazzlesphere,1/11/2022,526,Snacks
"Lemonade - Strawberry, 591 Ml",4.84,924,188 Ohio Trail,Fliptune,8/5/2022,527,Beverages
"Oil - Truffle, White",3.37,160,29 Brickson Park Court,Yakitri,8/16/2022,528,Beverages
Compound - Passion Fruit,6.89,39,0771 Loomis Crossing,Flashpoint,2/27/2022,529,Candy
Lumpfish Black,4.19,121,937 East Street,Skynoodle,10/26/2022,530,Snacks
Flower - Daisies,7.06,167,1 Maple Wood Avenue,Thoughtblab,9/24/2023,531,Snacks
"Mushroom - Trumpet, Dry",3.69,603,6 Scoville Crossing,Jabbersphere,11/23/2022,532,Beverages
"Corn - Cream, Canned",3.99,189,36 Johnson Park,Brightbean,12/7/2022,533,Candy
French Pastry - Mini Chocolate,9.26,961,5 Jenifer Center,Linklinks,6/23/2023,534,Snacks
Bagelers - Cinn / Brown Sugar,4.08,48,1007 Saint Paul Avenue,Livetube,2/18/2022,535,Snacks
Cheese Cloth No 60,1.35,105,42388 Vidon Pass,Jabbercube,10/24/2022,536,Beverages
Cheese - Fontina,9.64,133,786 Kedzie Point,Kwideo,10/13/2022,537,Snacks
"Mushroom - Shitake, Fresh",4.94,960,40 Nelson Court,Oloo,1/30/2022,538,Snacks
"Rum - Light, Captain Morgan",9.93,275,6 Charing Cross Road,Skippad,1/18/2023,539,Snacks
Wine - Alicanca Vinho Verde,9.9,312,94461 Fisk Center,Tekfly,5/3/2022,540,Candy
Pepperoni Slices,9.14,782,2297 Shoshone Street,Devpoint,7/25/2023,541,Candy
Nantucket Orange Juice,3.12,717,53899 Westridge Avenue,Chatterpoint,1/25/2023,542,Beverages
Coffee Caramel Biscotti,9.04,963,4 Stephen Lane,Browsedrive,6/10/2022,543,Beverages
Wine - Chateau Bonnet,2.39,638,80 Ridgeview Alley,Cogidoo,7/14/2023,544,Candy
Island Oasis - Pina Colada,2.81,500,411 Onsgard Street,Abatz,6/9/2022,545,Candy
Muffin Orange Individual,8.89,350,34736 Talisman Hill,Wikido,8/12/2023,546,Candy
Tia Maria,7.29,397,661 Esker Park,Browsedrive,8/15/2023,547,Candy
Bouillion - Fish,3.11,213,9 2nd Plaza,Edgeblab,12/6/2022,548,Candy
"Wine - Saint - Bris 2002, Sauv",7.78,304,8 Cody Street,Oyondu,7/21/2022,549,Candy
Beans - Fava Fresh,3.64,461,9 Daystar Circle,Bluejam,5/9/2023,550,Candy
"Bread - Roll, Whole Wheat",1.41,878,54400 Buena Vista Avenue,Divape,5/26/2022,551,Snacks
Ham - Proscuitto,2.75,775,931 Corscot Parkway,Meeveo,5/17/2022,552,Snacks
Sauce - Thousand Island,2.25,664,81 Menomonie Park,Flipopia,2/19/2023,553,Beverages
V8 Splash Strawberry Banana,7.35,532,2 Petterle Road,Gabcube,11/30/2023,554,Candy
Plastic Arrow Stir Stick,8.76,652,1 6th Drive,Browseblab,8/17/2022,555,Snacks
Daves Island Stinger,2.66,769,25 Londonderry Court,Vidoo,4/25/2022,556,Snacks
Sambuca - Opal Nera,9.4,587,6132 Sullivan Point,Gigaclub,9/10/2022,557,Candy
Dried Peach,2.18,98,48 Hoepker Junction,Topicstorm,10/24/2023,558,Snacks
Capicola - Hot,8.25,766,1118 Luster Plaza,Jazzy,1/20/2023,559,Candy
Grapefruit - Pink,7.53,573,170 Superior Terrace,Browsebug,2/21/2022,560,Candy
Sprouts - Alfalfa,8.92,53,245 Fordem Way,Edgeclub,2/9/2023,561,Snacks
"Yogurt - Strawberry, 175 Gr",8.8,987,8 Maple Trail,Yakitri,12/14/2023,562,Beverages
Apple - Macintosh,8.34,785,2604 Eastlawn Crossing,Trilia,1/13/2023,563,Beverages
"Tabasco Sauce, 2 Oz",1.1,675,55700 Novick Park,Fliptune,12/30/2023,564,Snacks
Flower - Dish Garden,1.56,647,4 Mifflin Circle,Ailane,5/5/2022,565,Candy
Ice Cream Bar - Hagen Daz,8.55,404,623 Old Gate Junction,Jayo,5/23/2022,566,Beverages
Dried Cranberries,8.96,664,6253 Helena Court,LiveZ,7/30/2023,567,Snacks
Pastry - Trippleberry Muffin - Mini,6.21,929,55 Weeping Birch Place,Jetwire,7/19/2022,568,Snacks
Ham Black Forest,4.86,374,851 Bluestem Parkway,Tagchat,10/24/2022,569,Candy
"Salmon - Atlantic, No Skin",8.28,748,67 Melrose Lane,Babbleset,6/16/2023,570,Snacks
